semana_fin,pais,casos_semana,factor_crec_7d
2021-01-01,Argentina,58372.0,1.3674100449775113
2021-01-02,Argentina,59597.0,1.360848518061835
2021-01-03,Argentina,60464.0,1.3477475870984998
2021-01-04,Argentina,62352.0,1.298486015952019
2021-01-05,Argentina,64156.0,1.2407604386253313
2021-01-06,Argentina,65517.0,1.1757200538358008
2021-01-07,Argentina,72921.0,1.273039925978946
2021-01-08,Argentina,82774.0,1.4180428972795176
2021-01-09,Argentina,84044.0,1.4102052116717285
2021-01-10,Argentina,84733.0,1.4013793331569198
2021-01-11,Argentina,84290.0,1.351841159866564
2021-01-12,Argentina,83127.0,1.2957011035600723
2021-01-13,Argentina,82123.0,1.2534609338034404
2021-01-14,Argentina,80123.0,1.0987644162861179
2021-01-15,Argentina,78281.0,0.9457196704279122
2021-01-16,Argentina,78376.0,0.9325591356908286
2021-01-17,Argentina,77946.0,0.9199013371413735
2021-01-18,Argentina,77293.0,0.916988966662712
2021-01-19,Argentina,76671.0,0.922335703201126
2021-01-20,Argentina,76387.0,0.9301535501625611
2021-01-21,Argentina,76879.0,0.9595122499157546
2021-01-22,Argentina,79779.0,1.019136188858088
2021-01-23,Argentina,79762.0,1.0176839848933348
2021-01-24,Argentina,79316.0,1.0175762707515459
2021-01-25,Argentina,78621.0,1.017181374768737
2021-01-26,Argentina,76841.0,1.0022172659806186
2021-01-27,Argentina,74571.0,0.9762263212326705
2021-01-28,Argentina,70523.0,0.9173246270112775
2021-01-29,Argentina,65247.0,0.8178468017899447
2021-01-30,Argentina,62246.0,0.780396680123367
2021-01-31,Argentina,61185.0,0.7714080387311514
2021-02-01,Argentina,58280.0,0.7412777756579031
2021-02-02,Argentina,56401.0,0.73399617391757
2021-02-03,Argentina,54937.0,0.7367072990840944
2021-02-04,Argentina,54246.0,0.7691958651787361
2021-02-05,Argentina,53105.0,0.8139071528192867
2021-02-06,Argentina,52221.0,0.838945474407994
2021-02-07,Argentina,51269.0,0.8379341341832148
2021-02-08,Argentina,49796.0,0.85442690459849
2021-02-09,Argentina,48380.0,0.8577862094643712
2021-02-10,Argentina,46696.0,0.8499918087991699
2021-02-11,Argentina,45702.0,0.8424952991925672
2021-02-12,Argentina,46259.0,0.8710855851614726
2021-02-13,Argentina,51235.0,0.9811187070335688
2021-02-14,Argentina,50744.0,0.9897598938929958
2021-02-15,Argentina,47062.0,0.9450959916459153
2021-02-16,Argentina,44388.0,0.9174865646961554
2021-02-17,Argentina,45707.0,0.9788204557135515
2021-02-18,Argentina,46743.0,1.0227779965865826
2021-02-19,Argentina,45983.0,0.9940335934628937
2021-02-20,Argentina,41949.0,0.818756709280765
2021-02-21,Argentina,42687.0,0.841222607598928
2021-02-22,Argentina,46512.0,0.9883132888530024
2021-02-23,Argentina,48897.0,1.1015815085158152
2021-02-24,Argentina,47951.0,1.0490953245673529
2021-02-25,Argentina,47660.0,1.0196179107032068
2021-02-26,Argentina,46595.0,1.0133092664680425
2021-02-27,Argentina,45267.0,1.07909604519774
2021-02-28,Argentina,44701.0,1.047180640476023
2021-03-01,Argentina,44176.0,0.9497764017887856
2021-03-02,Argentina,44335.0,0.9067018426488332
2021-03-03,Argentina,44259.0,0.923004733999291
2021-03-04,Argentina,43640.0,0.9156525388166177
2021-03-05,Argentina,43893.0,0.9420109453804056
2021-03-06,Argentina,43979.0,0.9715466012768683
2021-03-07,Argentina,43723.0,0.9781212948256192
2021-03-08,Argentina,43813.0,0.9917828685258964
2021-03-09,Argentina,44010.0,0.992669448516973
2021-03-10,Argentina,44427.0,1.0037958381346166
2021-03-11,Argentina,48141.0,1.1031393217231897
2021-03-12,Argentina,49036.0,1.1171713029412436
2021-03-13,Argentina,49483.0,1.1251506400782192
2021-03-14,Argentina,50279.0,1.1499439654186583
2021-03-15,Argentina,50908.0,1.161938237509415
2021-03-16,Argentina,51616.0,1.1728243581004316
2021-03-17,Argentina,52567.0,1.183221914601481
2021-03-18,Argentina,50194.0,1.042645561994973
2021-03-19,Argentina,50774.0,1.0354433477445142
2021-03-20,Argentina,51802.0,1.0468645797546632
2021-03-21,Argentina,51631.0,1.0268899540563654
2021-03-22,Argentina,53596.0,1.052801131452817
2021-03-23,Argentina,55904.0,1.08307501549907
2021-03-24,Argentina,53751.0,1.0225236365019879
2021-03-25,Argentina,58928.0,1.1740048611387814
2021-03-26,Argentina,65064.0,1.2814432583605782
2021-03-27,Argentina,68605.0,1.3243697154550018
2021-03-28,Argentina,71481.0,1.3844589490809784
2021-03-29,Argentina,76307.0,1.4237443092768116
2021-03-30,Argentina,81981.0,1.4664603606182027
2021-03-31,Argentina,92128.0,1.7139774143736861
2021-04-01,Argentina,91462.0,1.552097474884605
2021-04-02,Argentina,87777.0,1.3490870527480634
2021-04-03,Argentina,91360.0,1.3316813643320458
2021-04-04,Argentina,93977.0,1.3147130006575174
2021-04-05,Argentina,100552.0,1.3177296971444297
2021-04-06,Argentina,109594.0,1.3368219465485904
2021-04-07,Argentina,116725.0,1.2669872351510942
2021-04-08,Argentina,130272.0,1.4243292296254182
2021-04-09,Argentina,143581.0,1.6357474053567562
2021-04-10,Argentina,148683.0,1.6274408931698774
2021-04-11,Argentina,153369.0,1.6319844217202082
2021-04-12,Argentina,156789.0,1.559282759169385
2021-04-13,Argentina,158746.0,1.4484917057503148
2021-04-14,Argentina,160009.0,1.3708203041336475
2021-04-15,Argentina,160411.0,1.2313543969540652
2021-04-16,Argentina,162452.0,1.1314310389257631
2021-04-17,Argentina,163945.0,1.1026479153635587
2021-04-18,Argentina,164523.0,1.072726561430276
2021-04-19,Argentina,167651.0,1.0692778192347678
2021-04-20,Argentina,169650.0,1.0686883449031788
2021-04-21,Argentina,170341.0,1.064571367860558
2021-04-22,Argentina,170603.0,1.0635367898710189
2021-04-23,Argentina,170394.0,1.048888287001699
2021-04-24,Argentina,167391.0,1.0210192442587454
2021-04-25,Argentina,165754.0,1.0074822365262
