fecha,pais,incidencia_7d
2024-05-30,Argentina,0.03397775052580412
2024-05-31,Argentina,0.03397775052580412
2024-06-01,Argentina,0.03397775052580412
2024-06-02,Argentina,0.03397775052580412
2024-06-03,Argentina,0.03397775052580412
2024-06-04,Argentina,0.04152836175376059
2024-06-05,Argentina,0.04152836175376059
2024-06-06,Argentina,0.04152836175376059
2024-06-07,Argentina,0.04152836175376059
2024-06-08,Argentina,0.04152836175376059
2024-06-09,Argentina,0.04152836175376059
2024-06-10,Argentina,0.04152836175376059
2024-06-11,Argentina,0.043730623361914564
2024-06-12,Argentina,0.043730623361914564
2024-06-13,Argentina,0.043730623361914564
2024-06-14,Argentina,0.043730623361914564
2024-06-15,Argentina,0.043730623361914564
2024-06-16,Argentina,0.043730623361914564
2024-06-17,Argentina,0.043730623361914564
2024-06-18,Argentina,0.03964070894677147
2024-06-19,Argentina,0.03964070894677147
2024-06-20,Argentina,0.03964070894677147
2024-06-21,Argentina,0.03964070894677147
2024-06-22,Argentina,0.03964070894677147
2024-06-23,Argentina,0.03964070894677147
2024-06-24,Argentina,0.03964070894677147
2024-06-25,Argentina,0.03460696812813382
2024-06-26,Argentina,0.03460696812813382
2024-06-27,Argentina,0.03460696812813382
2024-06-28,Argentina,0.03460696812813382
2024-06-29,Argentina,0.03460696812813382
2024-06-30,Argentina,0.03460696812813382
2024-07-01,Argentina,0.03460696812813382
2024-07-02,Argentina,0.02705635690017735
2024-07-03,Argentina,0.02705635690017735
2024-07-04,Argentina,0.02705635690017735
2024-07-05,Argentina,0.02705635690017735
2024-07-06,Argentina,0.02705635690017735
2024-07-07,Argentina,0.02705635690017735
2024-07-08,Argentina,0.02705635690017735
2024-07-09,Argentina,0.025797921695517943
2024-07-10,Argentina,0.025797921695517943
2024-07-11,Argentina,0.025797921695517943
2024-07-12,Argentina,0.025797921695517943
2024-07-13,Argentina,0.025797921695517943
2024-07-14,Argentina,0.025797921695517943
2024-07-15,Argentina,0.025797921695517943
2024-07-16,Argentina,0.03020244491182588
2024-07-17,Argentina,0.03020244491182588
2024-07-18,Argentina,0.03020244491182588
2024-07-19,Argentina,0.03020244491182588
2024-07-20,Argentina,0.03020244491182588
2024-07-21,Argentina,0.03020244491182588
2024-07-22,Argentina,0.03020244491182588
2024-07-23,Argentina,0.032090097718815
2024-07-24,Argentina,0.032090097718815
2024-07-25,Argentina,0.032090097718815
2024-07-26,Argentina,0.032090097718815
2024-07-27,Argentina,0.032090097718815
2024-07-28,Argentina,0.032090097718815
2024-07-29,Argentina,0.032090097718815
2024-07-30,Argentina,0.03995531774793632
2024-07-31,Argentina,0.03995531774793632
2024-08-01,Argentina,0.03995531774793632
2024-08-02,Argentina,0.03995531774793632
2024-08-03,Argentina,0.03995531774793632
2024-08-04,Argentina,0.03995531774793632
2024-08-05,Argentina,0.03995531774793632
2024-08-06,Argentina,0.043416014560749706
2024-08-07,Argentina,0.043416014560749706
2024-08-08,Argentina,0.043416014560749706
2024-08-09,Argentina,0.043416014560749706
2024-08-10,Argentina,0.043416014560749706
2024-08-11,Argentina,0.043416014560749706
2024-08-12,Argentina,0.043416014560749706
2024-08-13,Argentina,0.04907897298171705
2024-08-14,Argentina,0.04907897298171705
2024-08-15,Argentina,0.04907897298171705
2024-08-16,Argentina,0.04907897298171705
2024-08-17,Argentina,0.04907897298171705
2024-08-18,Argentina,0.04907897298171705
2024-08-19,Argentina,0.04907897298171705
2024-08-20,Argentina,0.05757341061316808
2024-08-21,Argentina,0.05757341061316808
2024-08-22,Argentina,0.05757341061316808
2024-08-23,Argentina,0.05757341061316808
2024-08-24,Argentina,0.05757341061316808
2024-08-25,Argentina,0.05757341061316808
2024-08-26,Argentina,0.05757341061316808
2024-08-27,Argentina,0.06292176023297058
2024-08-28,Argentina,0.06292176023297058
2024-08-29,Argentina,0.06292176023297058
2024-08-30,Argentina,0.06292176023297058
2024-08-31,Argentina,0.06292176023297058
2024-09-01,Argentina,0.06292176023297058
2024-09-02,Argentina,0.06292176023297058
