Entity,Day,"Cumulative excess deaths per 100,000 people (central estimate)","Cumulative excess deaths per 100,000 people (95% CI, lower bound)","Cumulative excess deaths per 100,000 people (95% CI, upper bound)","Total confirmed deaths due to COVID-19 per 100,000 people"
Turkey,2024-06-17,349.36044,296.46225,393.5853,116.49534
Turkmenistan,2024-06-17,191.48164,-16.171959,344.8692,0
Tuvalu,2024-06-17,123.34867,-126.37622,439.03174,10.032103
Uganda,2024-06-17,275.5982,69.50966,462.55484,7.6765914
Ukraine,2024-06-17,599.86285,514.66187,981.4814,267.7794
United Arab Emirates,2024-06-17,138.11308,50.10175,551.77673,22.9349
United Kingdom,2024-06-17,409.11884,401.59476,410.39435,340.44366
United States,2024-06-17,433.76694,386.23007,476.36606,348.37177
Uruguay,2024-06-17,258.99182,202.6607,279.11057,226.55
Uzbekistan,2024-06-17,228.78206,164.67429,241.07468,2.9079328
Vanuatu,2024-06-17,-65.82143,-133.99791,267.28726,4.4726434
Venezuela,2024-06-17,253.03825,42.72842,408.9961,20.756418
Vietnam,2024-06-17,428.2209,202.74718,682.414,43.34444
Western Sahara,2024-06-17,126.12173,-145.10948,596.57434,
Yemen,2024-06-17,181.55637,58.496403,502.65033,5.648456
Zambia,2024-06-17,303.52634,155.63748,498.64355,20.190653
Zimbabwe,2024-06-17,314.63895,200.41026,525.8323,35.720932
